CustomerID,Age,Annual_Income,Spending_Score,Review
1,25,40000,60,"I love this product it is amazing"
2,45,80000,30,"Not satisfied poor quality"
3,35,60000,50,"Good value for money"
4,23,20000,80,"Excellent service and fast delivery"
5,52,90000,20,"Very bad experience will not buy again"
6,29,45000,65,"Pretty decent quality and good price"
7,41,75000,35,"Average product nothing special"
8,33,58000,55,"Happy with the purchase overall"
9,27,30000,75,"Fantastic experience highly recommend"
10,48,85000,25,"Terrible support and bad packaging"
11,31,52000,58,"Good product but delivery was slow"
12,36,61000,45,"Satisfied with the quality"
13,22,18000,85,"Amazing service loved it"
14,55,95000,15,"Worst purchase ever"
15,39,70000,40,"Okay experience not great not bad"
16,28,47000,68,"Really liked the product quality"
17,44,78000,33,"Not worth the money"
18,34,59000,52,"Quite satisfied will buy again"
19,26,32000,72,"Great value and fast shipping"
20,50,88000,22,"Poor quality very disappointed"
21,30,50000,60,"Nice product works well"
22,42,76000,38,"Could be better for the price"
23,37,64000,48,"Decent purchase overall"
24,24,21000,82,"Loved it amazing experience"
25,53,92000,18,"Very poor quality not recommended"
26,32,54000,57,"Good balance of price and quality"
27,40,72000,42,"Average experience nothing new"
28,29,46000,66,"Very happy with my purchase"
29,35,60000,53,"Satisfied will recommend"
30,47,83000,28,"Bad experience customer service was rude"
